Actual,RF_Predicted,LR_Predicted
446.0,591.16,276.0627532198105
72.0,198.54,184.56007995241453
204.0,267.47,243.88707542156044
116.0,177.2,199.54326293747
301.0,257.04,211.78568849891235
32.0,75.59,182.0869699867344
337.0,455.14,290.7397831744456
139.0,493.41,292.16640347876455
147.0,206.21,228.22598095421745
105.0,176.5,78.91088501454215
188.0,230.62,255.52223225222406
810.0,468.6,272.65707651781486
115.0,222.14,135.52465067442608
174.0,261.56,251.08261437595684
115.0,174.85,274.43915043065863
112.0,155.04,229.8639295267949
35.0,34.09,91.17512377523417
146.0,215.67,165.39279284508848
390.0,512.26,287.5672570727511
42.0,44.57,93.85146679037098
198.0,219.06,227.4685481713368
55.0,55.01,117.75351856685847
189.0,230.98,292.8953116535977
155.0,210.845,216.44893533895083
107.0,182.31,251.13921779809425
279.0,176.39,262.007455697596
208.0,191.79,271.25428942434337
256.0,230.94,281.3878568062082
131.0,147.33,249.66491428305744
202.0,210.07,200.8713037615198
294.0,127.16,192.79518069596452
426.0,295.41,756.2576273835821
137.0,168.27,174.18747181906474
218.0,275.78,231.45451470638
147.0,177.55,213.18902497583076
73.0,169.005,235.08968107033252
42.0,176.12,664.532030463859
161.0,127.58,209.52565002988013
120.0,154.53,228.75092040369964
278.0,389.89,287.6600319236386
48.0,64.41,197.91101235961105
170.0,126.0,240.6064300379203
255.0,232.14,296.376009949352
237.0,304.87,209.78986744789836
58.0,126.27,150.44813826588506
180.0,260.27,271.13418665344216
124.0,120.46,208.40214684430612
140.0,176.93,171.08723397018366
123.0,241.03,212.43089637224512
133.0,161.64,197.95341926355104
646.0,287.1,270.406464025722
73.0,66.26,111.1818476196986
176.0,272.27,219.8313625141891
590.0,212.44,255.8564622714057
159.0,161.1,191.2652397346901
81.0,209.81,212.85157719016752
238.0,192.72,176.35093050265823
59.0,132.69,138.69352541063017
236.0,490.05,268.209747632789
75.0,256.74,237.957599253823
91.0,164.77,204.03029645965216
398.0,246.68,265.40101294179294
34.0,61.9,15.379253611949025
200.0,324.43,279.48753532645605
233.0,171.28,213.19143252704635
97.0,86.74,151.5564907414264
89.0,65.68,178.53906460668804
357.0,132.77,98.45262752841518
203.0,190.98,246.27545810925767
400.0,461.25,225.94707452790863
244.0,321.15,290.2136574619708
154.0,166.03,220.55958014821408
103.0,146.75,211.03991748261979
72.0,115.73,152.50885108841612
65.0,130.16,16.09212197355373
105.0,68.67,205.25991528712802
150.0,165.31,185.48528418682326
124.0,155.31,158.28218462479526
211.0,214.04,241.93951601047047
197.0,222.98,261.23835709252853
234.0,186.11,270.9879835465872
145.0,103.68,158.90745449040696
182.0,202.38,253.18518447105635
530.0,223.45,176.6870890566297
45.0,616.94,76.8591380160342
284.0,1078.55,236.26979402283177
75.0,100.22,252.871176196124
151.0,170.87,224.17492176943233
224.0,201.52,192.93656085036855
109.0,176.69,81.04293571020753
269.0,209.14,250.55336172460375
213.0,265.02,269.3864370576721
201.0,135.02,114.46638210164747
186.0,184.68,230.02142312014257
164.0,219.35,129.37320651754817
101.0,173.69,191.7259298906938
129.0,193.73,256.94153426833145
106.0,227.82,293.42006975502954
134.0,141.95,211.89367594272153
